date,pm25,pm10,o3,no2,so2,co
2024-10-02,56.0,43.0,9.0,1.0,4.0,6.0
2024-10-03,59.0,73.0,9.0,1.0,5.0,6.0
2024-10-04,127.0,74.0,9.0,1.0,5.0,6.0
2024-10-05,132.0,79.0,9.0,1.0,5.0,7.0
2024-10-06,145.0,80.0,9.0,1.0,5.0,7.0
2024-10-07,146.0,68.0,9.0,1.0,5.0,6.0
2024-10-08,126.0,76.0,9.0,1.0,5.0,7.0
2024-10-09,142.0,89.0,9.0,1.0,5.0,7.0
2024-10-10,165.0,84.0,9.0,1.0,5.0,9.0
2024-10-11,161.0,77.0,9.0,1.0,5.0,9.0
2024-10-12,146.0,69.0,9.0,1.0,5.0,8.0
2024-10-13,116.0,65.0,9.0,1.0,5.0,9.0
2024-10-14,108.0,57.0,9.0,1.0,5.0,7.0
2024-10-15,83.0,58.0,9.0,1.0,5.0,7.0
2024-10-16,89.0,64.0,9.0,1.0,5.0,9.0
2024-10-17,101.0,55.0,9.0,1.0,5.0,8.0
2024-10-18,69.0,55.0,9.0,1.0,5.0,8.0
2024-10-19,69.0,57.0,9.0,1.0,5.0,8.0
2024-10-20,78.0,59.0,9.0,1.0,5.0,8.0
2024-10-21,100.0,56.0,9.0,1.0,5.0,6.0
2024-10-22,94.0,33.0,9.0,1.0,5.0,4.0
2024-10-23,41.0,61.0,9.0,1.0,5.0,8.0
2024-10-24,94.0,76.0,9.0,1.0,5.0,8.0
2024-10-25,139.0,68.0,9.0,1.0,5.0,5.0
2024-10-26,117.0,47.0,9.0,1.0,5.0,3.0
2024-10-27,67.0,33.0,9.0,1.0,5.0,3.0
2024-10-28,42.0,43.0,9.0,1.0,5.0,8.0
2024-10-29,67.0,69.0,9.0,1.0,5.0,7.0
2024-10-30,120.0,92.0,9.0,1.0,5.0,13.0
2024-10-31,164.0,81.0,9.0,1.0,5.0,7.0
2024-11-01,133.0,68.0,9.0,1.0,5.0,6.0
2024-11-02,116.0,78.0,9.0,1.0,5.0,7.0
2024-11-03,145.0,68.0,9.0,1.0,5.0,6.0
2024-11-04,133.0,63.0,9.0,1.0,5.0,7.0
2024-11-05,119.0,70.0,9.0,1.0,5.0,7.0
2024-11-06,137.0,82.0,9.0,1.0,5.0,8.0
2024-11-07,155.0,77.0,9.0,1.0,5.0,8.0
2024-11-08,144.0,93.0,9.0,1.0,5.0,9.0
2024-11-09,167.0,90.0,9.0,1.0,5.0,9.0
2024-11-10,169.0,94.0,9.0,1.0,5.0,9.0
2024-11-11,170.0,89.0,9.0,1.0,6.0,11.0
2024-11-12,156.0,78.0,9.0,1.0,5.0,8.0
2024-11-13,139.0,79.0,9.0,1.0,6.0,10.0
2024-11-14,136.0,73.0,9.0,1.0,5.0,9.0
2024-11-15,119.0,60.0,9.0,1.0,5.0,7.0
2024-11-16,89.0,59.0,9.0,1.0,5.0,6.0
2024-11-17,89.0,71.0,9.0,1.0,6.0,7.0
2024-11-18,123.0,57.0,9.0,1.0,5.0,6.0
2024-11-19,95.0,57.0,9.0,1.0,5.0,7.0
2024-11-20,74.0,56.0,9.0,1.0,5.0,5.0
2024-11-21,85.0,61.0,9.0,1.0,5.0,6.0
2024-11-22,104.0,65.0,9.0,1.0,5.0,6.0
2024-11-23,110.0,73.0,9.0,1.0,5.0,7.0
2024-11-24,132.0,89.0,9.0,1.0,5.0,11.0
2024-11-25,164.0,55.0,9.0,1.0,5.0,5.0
2024-11-26,74.0,53.0,9.0,1.0,5.0,5.0
2024-11-27,81.0,38.0,9.0,1.0,5.0,3.0
2024-11-28,51.0,57.0,9.0,1.0,5.0,7.0
2024-11-29,92.0,83.0,9.0,1.0,5.0,8.0
2024-11-30,147.0,80.0,9.0,1.0,5.0,8.0
2024-12-01,142.0,81.0,9.0,1.0,5.0,8.0
2024-12-02,143.0,69.0,9.0,1.0,6.0,8.0
2024-12-03,100.0,68.0,9.0,1.0,5.0,8.0
2024-12-04,91.0,73.0,9.0,1.0,5.0,9.0
2024-12-05,107.0,80.0,9.0,1.0,6.0,10.0
2024-12-06,125.0,67.0,9.0,1.0,5.0,5.0
2024-12-07,119.0,32.0,9.0,1.0,5.0,4.0
2024-12-08,40.0,59.0,9.0,1.0,5.0,7.0
2024-12-09,108.0,111.0,9.0,1.0,5.0,12.0
2024-12-10,192.0,74.0,9.0,1.0,5.0,6.0
2024-12-11,122.0,42.0,9.0,1.0,5.0,3.0
2024-12-12,49.0,49.0,9.0,1.0,5.0,5.0
2024-12-13,67.0,49.0,8.666666666666666,1.0,5.0,4.0
2024-12-14,84.0,49.0,8.333333333333334,1.0,5.0,4.0
2024-12-15,110.0,61.0,8.0,1.0,5.0,8.0
2024-12-16,143.0,87.0,7.666666666666667,1.0,5.0,13.0
2024-12-17,195.0,71.0,7.333333333333334,1.0,5.0,9.0
2024-12-18,153.0,72.0,7.0,1.0,5.0,9.0
2024-12-19,156.0,73.0,15.0,1.0,5.0,9.0
2024-12-20,161.0,77.0,16.0,1.0,5.0,8.0
2024-12-21,172.0,99.0,23.0,1.0,5.0,9.0
2024-12-22,214.0,100.0,26.0,1.0,5.0,13.0
2024-12-23,192.0,93.0,21.0,1.0,5.0,10.0
2024-12-24,180.0,111.0,11.0,1.0,6.0,12.0
2024-12-25,207.0,82.0,25.0,1.0,6.0,8.0
2024-12-26,171.0,55.0,17.0,1.0,5.0,4.0
2024-12-27,128.0,50.0,20.0,1.0,5.0,8.0
2024-12-28,111.0,73.0,19.0,1.0,5.0,9.0
2024-12-29,156.0,64.5,14.0,1.0,4.5,7.5
2024-07-01,54.0,56.0,9.0,1.0,4.0,6.0
2024-07-02,72.0,55.0,9.0,1.0,4.0,11.0
2024-07-03,72.0,33.0,9.0,1.0,4.0,5.0
2024-07-04,29.0,27.0,9.0,1.0,4.0,3.0
2024-07-05,24.0,47.0,8.0,1.0,4.0,5.0
2024-07-06,50.0,32.0,10.0,1.0,4.0,3.0
2024-07-07,26.0,35.0,10.0,1.0,4.0,4.0
2024-07-08,29.0,37.0,10.0,1.0,4.0,5.0
2024-07-09,35.0,48.0,11.0,1.0,4.0,8.0
2024-07-10,55.0,53.0,9.0,1.0,4.0,7.0
2024-07-11,59.0,44.0,11.0,1.0,4.0,7.0
2024-07-12,41.0,39.0,11.0,1.0,4.0,5.0
2024-07-13,37.0,33.0,9.0,1.0,4.0,6.0
2024-07-14,36.0,34.0,9.0,1.0,4.0,4.0
2024-07-15,43.0,38.0,9.0,1.0,4.0,6.0
2024-07-16,50.0,48.0,9.0,1.0,4.0,6.0
2024-07-17,50.0,28.0,8.0,1.0,4.0,7.0
2024-07-18,32.0,44.0,9.0,1.0,4.0,10.0
2024-07-19,51.0,48.0,10.0,1.0,4.0,9.0
2024-07-20,57.0,52.0,14.0,1.0,4.0,6.0
2024-07-21,51.0,39.0,9.0,1.0,4.0,6.0
2024-07-22,55.0,27.0,9.333333333333334,1.0,4.0,5.0
2024-07-23,38.0,40.5,9.666666666666666,1.0,4.0,6.5
2024-07-25,44.0,54.0,10.0,1.0,4.0,8.0
2024-07-26,66.0,60.0,10.0,1.0,4.0,6.0
2024-07-27,82.0,36.0,8.0,1.0,4.0,6.0
2024-07-28,57.0,43.0,8.0,1.0,4.0,10.0
2024-07-29,48.0,33.0,8.0,1.0,4.0,8.0
2024-07-30,39.0,32.0,7.0,1.0,4.0,7.0
2024-07-31,29.0,44.0,7.0,1.0,4.0,7.0
2024-08-01,42.0,42.0,7.0,1.0,4.0,6.0
2024-08-02,32.0,48.0,6.0,1.0,4.0,8.0
2024-08-03,43.0,39.0,7.0,1.0,4.0,5.0
2024-08-04,41.0,49.0,8.0,1.0,4.0,8.0
2024-08-05,60.0,49.0,7.0,1.0,4.0,8.0
2024-08-06,56.0,54.0,7.0,1.0,4.0,8.0
2024-08-07,66.0,48.0,7.0,1.0,4.0,7.0
2024-08-08,54.0,40.0,7.0,1.0,4.0,5.0
2024-08-09,43.0,47.0,8.0,1.0,4.0,6.0
2024-08-10,51.0,35.0,6.0,1.0,4.0,5.0
2024-08-11,32.0,58.0,7.0,1.0,4.0,9.0
2024-08-12,77.0,41.0,8.0,1.0,4.0,5.0
2024-08-13,59.0,30.0,7.0,1.0,4.0,5.0
2024-08-14,41.0,44.0,7.0,1.0,4.0,6.0
2024-08-15,53.0,57.0,7.0,1.0,4.0,7.0
2024-08-16,87.0,66.0,8.0,1.0,4.0,9.0
2024-08-17,114.0,62.0,7.0,1.0,4.0,8.0
2024-08-18,103.0,65.0,7.0,1.0,4.0,9.0
2024-08-19,108.0,50.0,8.0,1.0,4.0,9.0
2024-08-20,66.0,39.0,8.0,1.0,4.0,8.0
2024-08-21,49.0,49.0,6.0,1.0,4.0,6.0
2024-08-22,48.0,35.0,6.0,1.0,4.0,9.0
2024-08-23,48.0,38.0,6.0,1.0,4.0,8.0
2024-08-24,53.0,32.0,7.0,1.0,4.0,7.0
2024-08-25,31.0,41.0,7.0,1.0,4.0,8.0
2024-08-26,47.0,49.0,6.0,1.0,4.0,9.0
2024-08-27,63.0,59.0,7.0,1.0,4.0,7.0
2024-08-28,85.0,61.0,7.0,1.0,4.0,10.0
2024-08-29,96.0,32.0,8.0,1.0,4.0,6.0
2024-08-30,35.0,54.0,7.0,1.0,4.0,9.0
2024-08-31,73.0,47.0,7.0,1.0,4.0,5.0
2024-09-01,74.0,44.0,7.0,1.0,4.0,5.0
2024-09-02,61.0,27.0,7.0,1.0,4.0,5.0
2024-09-03,36.0,53.0,7.0,1.0,4.0,6.0
2024-09-04,88.0,60.0,8.0,1.0,4.0,6.0
2024-09-05,94.0,43.0,7.0,1.0,4.0,6.0
2024-09-06,58.0,25.0,7.0,1.0,4.0,1.0
2024-09-07,23.0,17.0,7.0,1.0,4.0,3.0
2024-09-08,24.0,29.0,8.0,1.0,4.0,7.0
2024-09-09,28.0,21.0,7.0,1.0,4.0,7.0
2024-09-10,34.0,20.0,7.0,1.0,4.0,7.0
2024-09-11,34.0,29.0,8.0,1.0,5.0,6.0
2024-09-12,43.0,29.0,7.0,1.0,4.5,7.0
2024-09-13,40.0,36.5,9.0,1.0,4.0,4.0
2024-09-27,80.0,44.0,9.4,1.0,5.0,5.0
2024-09-28,48.0,37.0,9.8,1.0,5.0,5.0
2024-09-29,45.0,22.0,10.2,1.0,4.0,2.0
2024-09-30,26.0,47.0,10.6,1.0,5.5,4.5
2024-04-01,118.0,72.0,11.0,1.0,7.0,7.0
2024-04-02,103.0,78.0,11.0,1.0,8.0,8.0
2024-04-03,112.0,73.0,11.0,1.0,7.0,8.0
